,target_text,pred_str
3852,COOPERATE,COOPERATE
3853,DISRUPT,DISRUPT
3854,OBSTACLE,OBSTACLE
3855,HOURLY,HOURLY
3856,LETHARGIC,LETHARGIC
3857,ARCHRIVAL,ARCHRIVAL
3858,PUSH,PUSH
3859,SHOE,SHOE
3860,SOUR,SOUR
3861,SPOONS,SPOONS
3862,SEVEN,SEVEN
3863,CHILDHOOD,CHILDHOOD
3864,NOTHING,NOTHING
3865,HAWTHORNE,HAWTHORNE
3866,WAVELET,WAVELET
3867,SUPER,SUPER
3868,STEAKHOUSE,STEAKHOUSE
3869,OVERALLS,OVERALLS
3870,DASHBOARD,DASHBOARD
3871,JOIN,JOIN
3872,LURE,LURE
3873,SMASHED,SMASHED
3874,YIELDS,YIELDS
3875,THREE,THREE
3876,TRUCK,TRUCK
3877,SCALLYWAG,SCALLYWAG
3878,PAYOUTS,PAYOUTS
3879,MIDNIGHT,MIDNIGHT
3880,TEMPTATION,TEMPTATION
3881,WOMEN,WOMEN
3882,REPRESENTS,REPRESENTS
3883,PUSH,PUSH
3884,SHOE,SHOE
3885,SOUR,SOUR
3886,ARCHRIVAL,ARCHRIVAL
3887,HOURLY,HOURLY
3888,LETHARGIC,LETHARGIC
3889,DISRUPT,DISRUPT
3890,OBSTACLE,OBSTACLE
3891,MUSICIAN,MUSICIAN
3892,CASHFLOW,CASHFLOW
3893,TOURISTS,TOURISTS
3894,UNROLL,UNROLL
3895,STUDIO,STUDIO
3896,VAULTED,VAULTED
3897,SPOONS,SPOONS
3898,POINTS,POINTS
3899,FRAGMENT,FRAGMENT
3900,CASHFLOW,CASHFLOW
3901,MUSICIAN,MUSICIAN
3902,TOURISTS,TOURISTS
3903,UNROLL,UNROLL
3904,STUDIO,STUDIO
3905,VAULTED,VAULTED
3906,SHOE,SHOE
3907,SOUR,SOUR
3908,LETHARGIC,LETHARGIC
3909,HOURLY,HOURLY
3910,ARCHRIVAL,ARCHRIVAL
3911,DISRUPT,DISRUPT
3912,REPRESENTS,REPRESENTS
3913,TEMPTATION,TEMPTATION
3914,WOMEN,WOMEN
3915,WAVELET,WAVELET
3916,SUPER,SUPER
3917,NOTHING,NOTHING
3918,CHILDHOOD,CHILDHOOD
3919,SEVEN,SEVEN
3920,THREE,THREE
3921,TRUCK,TRUCK
3922,YIELDS,YIELDS
3923,BIOLOGY,BIOLOGY
3924,MIDNIGHT,MIDNIGHT
3925,FANCY,FANCY
3926,PAYOUTS,PAYOUTS
3927,SCALLYWAG,SCALLYWAG
3928,SMASHED,SMASHED
3929,STEAKHOUSE,STEAKHOUSE
3930,ENDURE,ENDURE
3931,OVERALLS,OVERALLS
3932,JOIN,JOIN
3933,LURE,LURE
3934,BACKGROUND,BACKGROUND
3935,VAULTED,VAULTED
3936,STUDIO,STUDIO
3937,SPOONS,SPOONS
3938,TOURISTS,TOURISTS
3939,UNROLL,UNROLL
3940,POINTS,POINTS
3941,FRAGMENT,FRAGMENT
3942,CASHFLOW,CASHFLOW
3943,MUSICIAN,MUSICIAN
3944,REPRESENTS,REPRESENTS
3945,WOMEN,WOMEN
3946,TEMPTATION,TEMPTATION
3947,COOPERATE,COOPERATE
3948,DISRUPT,DISRUPT
3949,OBSTACLE,OBSTACLE
3950,HOURLY,HOURLY
3951,LETHARGIC,LETHARGIC
3952,ARCHRIVAL,ARCHRIVAL
3953,SHOE,SHOE
3954,SOUR,SOUR
3955,PUSH,PUSH
3956,HAWTHORNE,HAWTHORNE
3957,NOTHING,NOTHING
3958,CHILDHOOD,CHILDHOOD
3959,SEVEN,SEVEN
3960,SUPER,SUPER
3961,WAVELET,WAVELET
3962,SMASHED,SMASHED
3963,JOIN,JOIN
3964,LURE,LURE
3965,DASHBOARD,DASHBOARD
3966,ENDURE,ENDURE
3967,OVERALLS,OVERALLS
3968,STEAKHOUSE,STEAKHOUSE
3969,SCALLYWAG,SCALLYWAG
3970,BIOLOGY,BIOLOGY
3971,MIDNIGHT,MIDNIGHT
3972,FANCY,FANCY
3973,PAYOUTS,PAYOUTS
3974,THREE,THREE
3975,TRUCK,TRUCK
3976,YIELDS,YIELDS
3977,RAGTIME,RAGTIME
3978,IS THAT GIRL CHEWING GUM,IS THAT GIRL CHEWING GUM
3979,WE WATCHED TELEVISION DURING DINNER,WE WATCHED TELEVISION DURING DINNER
3980,MATTHEW HAS A HORSE FROM THE DESERT,MATTHEW HAS A HORSE FROM THE DESERT
3981,SWOOP,SWOOP
3982,WHITE,WHITE
3983,ADVANTAGE,ADVANTAGE
3984,HOMEMAKING,HOMEMAKING
3985,CIVILIZED,CIVILIZED
3986,SILVER ROBOT TOYS ARE THE BEST,SILVER ROBOT TOYS ARE THE BEST
3987,NUCLEAR,NUCLEAR
3988,THAT PINK MARBLE COST ME A DOLLAR,THAT PINK MARBLE COST ME A DOLLAR
3989,SHEEPDOG,SHEEPDOG
3990,SMOOTHLY,SMOOTHLY
3991,CHASING SALLY CAN BE DANGEROUS,CHASING SALLY CAN BE DANGEROUS
3992,FRED DIDN'T TRY THE CARROT JUICE,FRED DIDN'T TRY THE CARROT JURCE
3993,THROWER,THROWER
3994,TWO,TWO
3995,SPRINGHILL,SPRINGHILL
3996,SCRAPBOOK,SCRAPBOOK
3997,MOHAWK,MOHAWK
3998,EVERY MONTH I EAT SOME CHOCOLATE,EVERY MONTH I EAT SOME CHOCOLATE
3999,BOOMERANG,BOOMERANG
4000,FIVE,FIVE
4001,THEY PUT MY COMPUTER NEXT TO THE BOOKS,THEY PUT MY COMPUTER NEXT TO THE BOOKS
4002,KINGPIN,KINGPIN
4003,MCDONALD,MCDONALD
4004,THE ILLUSION LOOKED LIKE A GIRAFFE,THE ILLUSION LOOKED LIKE A GIRAFFE
4005,PAGE,PAGE
4006,DESIGN,DESIGN
4007,THAT PERSON EATS PANCAKES,THAT PERSON EATS PANCAKES
4008,UPDATED,UPDATED
4009,PEOPLE LIKE TO SING IN CAIRO,PEOPLE LIKE TO SING IN CAIRO
4010,STEPFATHER,STEPFATHER
4011,BILL HAS PURPLE GLASSES,BILL HAS PURPLE GLASSES
4012,SPOONS,SPOONS
4013,SINGER,SINGER
4014,I COLLECT STAMPS FROM VIETNAM,I COLLECT STAMPS FROM VIETNAM
4015,OFFSHORE,OFFSHORE
4016,CRENSHAW,CRENSHAW
4017,EASIER,EASIER
4018,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
4019,ATHLETE,ATHLETE
4020,ICEBERG,ICEBERG
4021,LOGIC,LOGIC
4022,ONE ZERO ZERO THREE ZERO SEVEN EIGHT,ONE ZERO ZERO THREE ZERO SEVEN EIGHT
4023,ROYAL,ROYAL
4024,BEHIND,BEHIND
4025,GRANDMOTHER PLAYED FOOTBALL LAST YEAR,GRANDMOTHER PLAYED FOOTBALL LAST YEAR
4026,WOOLEN,WOOLEN
4027,THE YOUNG EMPEROR COULD NOT SPELL,THE YOUNG EMPEROR COULD NOT SPELL
4028,THANKS,THANKS
4029,TOYOTA,TOYOTA
4030,MABEL GROWS TOMATOES IN THE COURTYARD,MABEL GROWS TOMATOES IN THE COURTYARD
4031,JASON LIKES PLAYING WITH GARFIELD,JASON LIKES PLAYING WITH GARFIELD
4032,A FEATHER WAS IN THE BIRDCAGE,A FEATHER WAS IN THE BIRDCAGE
4033,WAGGING,WAGGING
4034,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
4035,SUBMIT,SUBMIT
4036,TWO EIGHT ONE SEVEN THREE NINE TWO,TWO EIGHT ONE SEVEN THREE NINE TWO
4037,GUMSHOE,GUMSHOE
4038,PUSH,PUSH
4039,NAPKIN,NAPKIN
4040,UNPLUG THE TOASTER IF IT GETS HOT,UNPLUG THE TOASTER IF IT GETS HOT
4041,CHAIR,CHAIR
4042,THEY PUT MY COMPUTER NEXT TO THE BOOKS,THEY PUT MY COMPUTER NEXT TO THE BOOKS
4043,THAT PERSON EATS PANCAKES,THAT PERSON EATS PANCAKES
4044,ETHNIC,ETHNIC
4045,PAGE,PAGE
4046,KINGPIN,KINGPIN
4047,THE ILLUSION LOOKED LIKE A GIRAFFE,THE ILLUSION LOOKED LIKE A GIRAFFE
4048,STEPFATHER,STEPFATHER
4049,UPDATED,UPDATED
4050,PEOPLE LIKE TO SING IN CAIRO,PEOPLE LIKE TO SING IN CAIRO
4051,SCRAPBOOK,SCRAPBOOK
4052,FIVE,FIVE
4053,EVERY MONTH I EAT SOME CHOCOLATE,EVERY MONTH I EASOME CHOCOLATE
4054,BOOMERANG,BOOMELYNG
4055,SPRINGHILL,SPRINGHILL
4056,TWO,TWO
4057,FRED DIDN'T TRY THE CARROT JUICE,FRED DIDN'T TRY THE CARROT JUICE
4058,WHITE,WHITE
4059,SWOOP,SWOOP
4060,MATTHEW HAS A HORSE FROM THE DESERT,MATTHEW HAS A HORSE DOM THE DESERT
4061,RAGTIME,RAGTIME
4062,IS THAT GIRL CHEWING GUM,IS THAT GIRL CHEWING GUM
4063,SHEEPDOG,SHEEPDOG
4064,SMOOTHLY,SMOOTH
4065,THAT PINK MARBLE COST ME A DOLLAR,THAT PINK MARBLE COST ME A DOLLAR
4066,CHASING SALLY CAN BE DANGEROUS,CHASING SALLY CAN BE DANGEROUS
4067,CIVILIZED,CIVILIZED
4068,CHAIR,CHAIR
4069,UNPLUG THE TOASTER IF IT GETS HOT,UNPLOG THE TOASTER IF IT GETS HOT
4070,NAPKIN,NAPKIN
4071,GUMSHOE,GUMSHOE
4072,PUSH,PUSH
4073,WAGGING,WAGGING
4074,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
4075,SUBMIT,SUBMIT
4076,LOGIC,LOGIC
4077,EASIER,EASIER
4078,CRENSHAW,CRENSHAW
4079,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
4080,I COLLECT STAMPS FROM VIETNAM,E COLLECT STAPS FROM BEYOND
4081,SINGER,SINGER
4082,SPOONS,SPOONS
4083,BILL HAS PURPLE GLASSES,BILL HAS PURPLE GLASSES
4084,THE YOUNG EMPEROR COULD NOT SPELL,THE YOUNG EMPEROR COULD NOT SPELL
4085,THANKS,THANKS
4086,TOYOTA,TOYOTA
4087,WOOLEN,WOOLEN
4088,JASON LIKES PLAYING WITH GARFIELD,JASON LIKES PLAYING WITH GARFIELD
4089,BEHIND,BEHIND
4090,A FEATHER WAS IN THE BIRDCAGE,EATHAR WAS IN THE MIRST PAGE
4091,WAGGING,ALLOWAL
4092,SUBMIT,SUBMIT
4093,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
4094,TWO EIGHT ONE SEVEN THREE NINE TWO,TWO EIGHT ONE SEVEN REE NINE TWO
4095,ONE ZERO ZERO THREE ZERO SEVEN EIGHT,ONE ZIRO ZERO THREE ZERO SEVEN EIGHT
4096,ROYAL,OIL
4097,JASON LIKES PLAYING WITH GARFIELD,IUS PRISONERS DARFIELD
4098,CRENSHAW,CREMSHAW
4099,EASIER,EASIER
4100,OFFSHORE,OFFSHORE
4101,ICEBERG,ICEBERG
4102,ATHLETE,ATHLAYE
4103,BILL HAS PURPLE GLASSES,WIL HAS PURPLE GLASSES
4104,SPOONS,SPOONS
4105,SINGER,SINGER
4106,HOMEMAKING,HOMEMAKING
4107,CIVILIZED,BLUISE
4108,CHASING SALLY CAN BE DANGEROUS,ATENG SOLRIES CAN BE DANGEROUS
4109,SMOOTHLY,SMOOTHLY
4110,WHITE,WHITE
4111,RAGTIME,BOMTIME
4112,STEPFATHER,TEPFATHER
4113,PEOPLE LIKE TO SING IN CAIRO,PEOPLE LIKE TO SING CAILO
4114,UPDATED,UPDATED
4115,KINGPIN,PINGPIN
4116,MCDONALD,MCDONALD
4117,DESIGN,DESIGN
4118,PAGE,PAGE
4119,FIVE,FIVE
4120,BOOMERANG,BOOMERANG
4121,MOHAWK,MOHAWKS
4122,THROWER,FOUR
4123,TWO,TWO
4124,ROYAL,ROYAL
4125,ONE ZERO ZERO THREE ZERO SEVEN EIGHT,ONE ZERO ZERO THREE ZERO SEVEN EIGHT
4126,BEHIND,BEHIND
4127,THANKS,THANKS
4128,TOYOTA,TOYOTA
4129,GRANDMOTHER PLAYED FOOTBALL LAST YEAR,GRANDMOTHER PLAYED FOOTBALL LAST YEAR
4130,WOOLEN,WOOLEN
4131,JASON LIKES PLAYING WITH GARFIELD,JASON LIKES PLAYING WITH GARFIELD
4132,MABEL GROWS TOMATOES IN THE COURTYARD,MABEL GROWS TOMATOES IN THE COURTYARD
4133,ICEBERG,ICEBERG
4134,LOGIC,LOGIC
4135,ATHLETE,ATHLETE
4136,OFFSHORE,OFFSHORE
4137,CRENSHAW,CRENSHAW
4138,EASIER,EASIER
4139,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
4140,I COLLECT STAMPS FROM VIETNAM,I COLLECT STAMPS FROM VIETNAM
4141,SPOONS,SPOONS
4142,SINGER,SINGER
4143,BILL HAS PURPLE GLASSES,BILL HAS PURPLE GLASSES
4144,TWO EIGHT ONE SEVEN THREE NINE TWO,TWO EIGHT ONE SEVEN THREE NINE TWO
4145,CHAIR,CHAIR
4146,UNPLUG THE TOASTER IF IT GETS HOT,UNPLUG THE TOASTER IF IT GETS HOT
4147,NAPKIN,NAPKIN
4148,GUMSHOE,GUMSHOE
4149,PUSH,PUSH
4150,A FEATHER WAS IN THE BIRDCAGE,A FEATHER WAS IN THE BIRDCAGE
4151,SUBMIT,SUBMERN
4152,THEY PUT MY COMPUTER NEXT TO THE BOOKS,THEY PUT MY COMPUTER NEXT TO THE BOOKS
4153,THAT PERSON EATS PANCAKES,THAT PERSON EATS PANCAKES
4154,DESIGN,DESIGN
4155,ETHNIC,ETHNIC
4156,PAGE,PAGE
4157,KINGPIN,KINPHANKS
4158,MCDONALD,MCDONALD
4159,THE ILLUSION LOOKED LIKE A GIRAFFE,THE ILLUSION LOOKED LIKE A JRASHE
4160,STEPFATHER,STEPFATHER
4161,SCRAPBOOK,SCRAPBOOK
4162,FIVE,FIVE
4163,PICTURE,PICTURE
4164,MOHAWK,MOHAWK
4165,EVERY MONTH I EAT SOME CHOCOLATE,EVERY MONTH I EAT SOME CHOCOLATE
4166,BOOMERANG,BOOMERANG
4167,SPRINGHILL,SPRINGHILL
4168,THROWER,THROWER
4169,TWO,TWO
4170,FRED DIDN'T TRY THE CARROT JUICE,FRED DIDN'T TRY THE CARROT THURSE
4171,WHITE,WHITE
4172,SWOOP,SWOOP
4173,MATTHEW HAS A HORSE FROM THE DESERT,ATTHEW HAS A HORSE FROM THE AND SOMEBODY OT OUR TABLE
4174,RAGTIME,RAGTIME
4175,WE WATCHED TELEVISION DURING DINNER,WE WATCHED TELEVANTS VISIONE DURING DINNER
4176,SHEEPDOG,SHEEPDOG
4177,SMOOTHLY,SMOOTHLY
4178,THAT PINK MARBLE COST ME A DOLLAR,MARBLE  COST ME A DOLLAR
4179,CHASING SALLY CAN BE DANGEROUS,CHASING SALLY CAN BE DANGEROUS
4180,ADVANTAGE,
4181,HOMEMAKING,HOMEMAKING
4182,NUCLEAR,NUCLEAR
4183,SHORTCHANGE,SHORTCHANGE
4184,SOUTHMOST,SOUTHMA
4185,COWBOYS,COWBOYS
4186,EARTHQUAKE,EARTHQUAKE
4187,OBVIOUS,OBGOUS
4188,HUMOR,HUMOR
4189,LIFEBOATS,LIFEBOATS
4190,ROCK,ROCK
4191,WONDERFUL,WONDERFUL
4192,TEN,TEN
4193,TOWN,TOWN
4194,SUBDUE,SUBDUE
4195,ONE SEVEN EIGHT NINE ONE EIGHT SIX,ONE SEVEN EIGHT NINE ONE EIGHT SIX
4196,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FO THREE
4197,GROWL,GROWL
4198,THROUGHOUT,THROUGHOUTS
4199,TWENTY,TWENTY
4200,ZUCCHINI,GREENMEAT
4201,SPOONS,SPOONS
4202,SCHOOL,SCHOOL
4203,BIRTHMARK,ROCK
4204,MISJUDGED,MISJUDG
4205,SANTA DEEMED RUDOLPH THE LEADER,TE STAME RULE LEADER
4206,JURORS,JURORTS
4207,DEPTHS,DEPTHS
4208,ENGRAVE,ENGRAVE
4209,SHADES,SWOS
4210,SMOKE,SMOKE
4211,SURROUND,SURGOUT
4212,PUSH,PUSH
4213,MUTUAL,MUTUAL
4214,GROWL,GROWL
4215,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FOUR THREE
4216,HELP ME UNROLL THE NEW RUG,HELP ME UNROLL THE NEW RUG
4217,MY SLEEVE CAUGHT THE THORNY BUSH,MY SLEEVE CAUGHT THE THORNY BUSH
4218,ONE SEVEN EIGHT NINE ONE EIGHT SIX,ONE SEVEN EIGHT NINE ONE EIGHT SIX
4219,VOWEL,VOWEL
4220,SUBDUE,SUBDUE
4221,THE COWS' HAY WAS NOT DRY YET,THE COWS' HAY WAS NOT DRY YET
4222,SHORTCHANGE,SHORTCHANGE
4223,YOU DIDN'T ARRIVE TOO LATE,YOU DIDN'T ARRIVE TOO LATE
4224,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
4225,OBVIOUS,OBVIOUS
4226,I'M SORRY THE DOG ATE YOUR DINNER,I'M SORRY THE DOG ATE YOUR DINNER
4227,COWBOYS,COWBOYS
4228,EARTHQUAKE,EARTHQUAKE
4229,GREET ME WITH OPEN ARMS,GREET ME GREET ME WITH OPEN ARMS
4230,HUMOR,HUMOR
4231,LIFEBOATS,LIFEBOATS
4232,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
4233,WONDERFUL,WONDERFUL
4234,TEN,TEN
4235,TOWN,TOWN
4236,PUSH,PUSH
4237,WE'VE HAD A WONDERFUL NIGHT,WE'VE HAD A WONDERFUL NIGHT
4238,THE DOG IS A BIG GENTLE PUPPY,THE DOG IS A BIG GENTLE PUPPY
4239,SURROUND,SURROUND
4240,WEATHERPROOF,WEATHERWEATHERPROOF
4241,THE STOVE MELTED THE BUTTER,THE STOVE MELTED THE BUTTER
4242,HERBALIST,UBVIOUS
4243,NOVEL,NOVEL
4244,I THINK CATS ARE CUTE,I THINK CATS ARE CUTE
4245,SMOKE,SMOKE
4246,SHADES,SHADES
4247,CHARLES WILL SELL FIFTY ALMONDS,CHARLES CHARLES WILL SELL FIFTY ALMONDS
4248,TWENTY,TWENTY
4249,FIVE PEOPLE CAN FIT IN THE ELEVATOR,FIVE PEOPLE CAN FIT IN THE ELEVATOR
4250,TRY TO LICK THE LOLLIPOP,TRY TO LICK THE LOLLIPOP
4251,SPOONS,SPOONS
4252,ZUCCHINI,ZUCCHINI
4253,SCHOOL,SCHOOL
4254,I DON'T CLEAN WINDOWS,I DON'T CLEAN WINDOWS
4255,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
4256,MISJUDGED,MISJUDGED
4257,BIRTHMARK,BIRTHMARK
4258,COULD YOU PASS THE OTHER JAM PLEASE,COULD YOU PASS THE OTHER JAM PLEASE
4259,FEMALE,FEMALE
4260,SANTA DEEMED RUDOLPH THE LEADER,SANTA DEEMED RUDOLPH THE LEADER
4261,JURORS,JURORS
4262,I'M GOOD WITH THINGS LIKE THAT,I'M GOOD WITH THINGS LIKE THAT
4263,BATHE,BATHE
4264,OVERREACTION,OVERREACTION
4265,DEPTHS,DEPTHS
4266,ENGRAVE,ENGRAVE
4267,STEAMSHIP,STEAMSHIP
4268,PUSH,PUSH
4269,WE'VE HAD A WONDERFUL NIGHT,WEV HAS A WONDERFUL NIGHT
4270,THE DOG IS A BIG GENTLE PUPPY,THE DOG IS A BIG GENTLE PUPPY
4271,SURROUND,SURROUND
4272,THE STOVE MELTED THE BUTTER,THE STOVE MELTED THE BUTTER
4273,WEATHERPROOF,WEATHERPROOF
4274,WILL YOU SING THIS SONG,AEN THIS SOFTEN
4275,NOVEL,NOVEL
4276,CIRCUMSTANCE,CIRCUMSTANCE
4277,I THINK CATS ARE CUTE,I THINK CATS ARE CUTE
4278,SMOKE,SMOKE
4279,SHADES,SHADES
4280,CHARLES WILL SELL FIFTY ALMONDS,CHAWLES WILL SELL FIFTY ALMONDS
4281,THROUGHOUT,THROUGHOUT
4282,TWENTY,TWENTY
4283,TRY TO LICK THE LOLLIPOP,TRY TO LICK THE LOLLIPOP
4284,ZUCCHINI,ZUCCHINI
4285,SPOONS,SPOONS
4286,SCHOOL,SCHOOL
4287,I DON'T CLEAN WINDOWS,I DON'T CLEAN WINDOWS
4288,SOMEONE BOUGHT A BEAUTIFUL RING FOR YOU,SOMEONE BOUGHT A E BEAUTIFUL RHING FOR YOU
4289,BIRTHMARK,BIRTHMARK
4290,MISJUDGED,MISJUDGED
4291,FEMALE,FEMALE
4292,SANTA DEEMED RUDOLPH THE LEADER,SANTA TRRUDOLPH OR THE LEASER
4293,I'M GOOD WITH THINGS LIKE THAT,I CAN' DO WITH THINGS LIKE THAT
4294,JURORS,JURORS
4295,MATURE,MATURE
4296,DEPTHS,DEPTHS
4297,ENGRAVE,ENGRAVE
4298,OVERREACTION,OVERREACTION
4299,UNWILLING,UNWILLING
4300,STEAMSHIP,STEAMSHIP
4301,SOUTHMOST,SOUTHMOST
4302,SHORTCHANGE,HOPECRAN
4303,YOU DIDN'T ARRIVE TOO LATE,YOU DIDN'T ARRIVE TOO LATE
4304,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
4305,COWBOYS,COWBOYS
4306,EARTHQUAKE,EARTHQUAKE
4307,I'M SORRY THE DOG ATE YOUR DINNER,I'M SORRY I'M SORRY THE DOG ATE YOUR DINNER
4308,OBVIOUS,OBVIOUS
4309,HUMOR,HUMOR
4310,LIFEBOATS,LIFEBOATS
4311,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
4312,ROCK,ROCK
4313,WONDERFUL,WONDERFUL
4314,TEN,TEN
4315,TOWN,TOWN
4316,VOWEL,VOWEL
4317,SUBDUE,SUBDUE
4318,MY SLEEVE CAUGHT THE THORNY BUSH,MY SLEEVE CAUGHT THE THORNY BUSH
4319,ONE SEVEN EIGHT NINE ONE EIGHT SIX,ONE SEVEN EIGHT NINE ONE EIGHT SIX
4320,HELP ME UNROLL THE NEW RUG,ELTE UNROLLED THE NEW RUG
4321,PUNISHMENT,PUNISHMENT
4322,GROWL,GROWL
4323,MUTUAL,MUTUAL
4324,PUSH,PUSH
4325,THE DOG IS A BIG GENTLE PUPPY,THE DOG IS A BIG GENTLE PUPPY
4326,WE'VE HAD A WONDERFUL NIGHT,WE'VE HAD A WONDERFUL NIGHT
4327,SURROUND,SURROUND
4328,WEATHERPROOF,WEATHERPROOF
4329,THE STOVE MELTED THE BUTTER,THE STOVE MELTED THE BUTTER
4330,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
4331,CIRCUMSTANCE,CIRCUMSTANCE
4332,NOVEL,NOVEL
4333,SHADES,SHADES
4334,SMOKE,SMOKE
4335,CHARLES WILL SELL FIFTY ALMONDS,CHARLES WILL SELL FIFTY ALMONDS
4336,THROUGHOUT,THROUGHOUT
4337,TWENTY,TWENTY
4338,TRY TO LICK THE LOLLIPOP,TRY TO LICK THE VOLLIPOPP
4339,FIVE PEOPLE CAN FIT IN THE ELEVATOR,FIVE PEOPLE CAN FIT IN THE ELEVATOR
4340,ZUCCHINI,ZUCCHINI
4341,SCHOOL,SCHOOL
4342,I DON'T CLEAN WINDOWS,I DON'T CLEAN WINDOWS
4343,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
4344,BIRTHMARK,IRTHMARK
4345,FEMALE,FEMALE
4346,MATURE,MATURE
4347,JURORS,JURORS
4348,I'M GOOD WITH THINGS LIKE THAT,I'M GOOD WITH THINGS LIKE THAT
4349,DEPTHS,DEPTHS
4350,ENGRAVE,ENGRAVE
4351,UNWILLING,UNWILLING
4352,STEAMSHIP,STEAMSHIP
4353,SHORTCHANGE,SHORTCHANGE
4354,SOUTHMOST,SOUTHMOST
4355,WE'VE JUST STARTED THE EGG TOSS,WE'VE JUST STARTED THE EGG TOSS
4356,YOU DIDN'T ARRIVE TOO LATE,YOU DIDN'T ARRIVE TOO LATE
4357,OBVIOUS,OBVIOUS
4358,I'M SORRY THE DOG ATE YOUR DINNER,I'M SORRY THE DOG ATE YOUR DINNER
4359,COWBOYS,COWBOYS
4360,EARTHQUAKE,EARTHQUAKE
4361,LIFEBOATS,LIFEBOATS
4362,HUMOR,HUMOR
4363,WE GATHERED STICKS FOR THE FIRE,WE GATHERED STICKS FOR THE FIRE
4364,ROCK,RRUPT
4365,WONDERFUL,WONDERFUL
4366,TEN,TEN
4367,TOWN,TOWN
4368,VOWEL,VOWEL
4369,SUBDUE,SUBDUE
4370,THE COWS' HAY WAS NOT DRY YET,THE COWS' HAY WAS NOT DRY YET
4371,MY SLEEVE CAUGHT THE THORNY BUSH,MY SLEEVE CAUGHT THE THORNY BUSH
4372,ONE EIGHT ONE SEVEN SIX FOUR THREE,ONE EIGHT ONE SEVEN SIX FOUR THREE
4373,HELP ME UNROLL THE NEW RUG,HELP ME UNROLL THE NEW RUG
4374,GROWL,GROWL
4375,PUNISHMENT,PUNISHMENT
4376,MUTUAL,MUTUAL
4377,CAUTIOUSLY,CAUTIOUSLY
4378,WILL YOU SING THIS SONG,WILL YOU SING THIS SONG
4379,SLOGAN,SLOGAN
4380,INTERRUPT,INTERRUPT
4381,LUMBERYARD,LUMBERYARD
4382,AWESOME,AWESOME
4383,FOUR SIX FOUR TWO NINE FIVE FOUR,FOUR SIX FOUR TWO NINE FIVE FOUR
4384,ORGANIZATIONS,ORGANIZATIONS
4385,CULTURES,CULTURES
4386,EMPLOYEES,EMPLOYEES
4387,OUR TENT CAN HOLD SIX PEOPLE,NOUR TENT CAN HOLD SIX PEOPLE
4388,I LIKE MY MEAT ON A COLD PLATTER,I LIKE MY MEAT ON A COLD PLATTER
4389,SAFEWAY,SAFEWAY
4390,MICROWAVES,MICROWAVES
4391,BIGFOOT,BIGFOOT
4392,FAITHFUL,FAITHFUL
4393,YOU CAN SEE BUGS LIGHT UP THE SKY,YOU CAN SEE BUGS LIGHT UP THE SKY
4394,THOUSAND,THOUSAND
4395,TREASURE,TREASURE
4396,YELLOW,YELLOW
4397,THE RAIN CHASED THE DIRT DOWN THE DRAIN,THE RAIN CHASED THE DIRT DOWN THE DRAIN
4398,PUSH,PUSH
4399,PUT THE KEY IN THE KEY HOLE,PUT THE KEY IN THE KEY HOLE
4400,SUGGEST,SUGGEST
4401,WHY IS THE EARTH INSIDE THE MILKY WAY,WHY IS THE EARTH INSIDE THE MILKY WAY
4402,WASH,WASH
4403,PLEASE OFFER THEM A DINNER MINT,PLEASE OFFER THEM A DINNER MINT
4404,PASS THEIR NOTES ALONG,PASS THEIR NOTES ALONG
4405,THE FLOOD TOOK A CAR DOWN THE STREET,THE FLOOD TOOK A CAR DOWN THE STREET
4406,CHEWY,CHEWY
4407,NORMAL,NORMAL
4408,HARDSHIP,HARDSHIP
4409,BUYING THE RING TOOK ALL OF MY MONEY,BUYING THE RING TOOK ALL OF MY MONEY
4410,STARVE,STARVE
4411,TOOTHPASTE,TOOTHPASTE
4412,UNFORTUNATE,UNFORTUNATE
4413,ARE YOU SURE THIS IS OKAY,ARE YOU SURE THIS IS OKAY
4414,SEIZURE,SEIZURE
4415,GIVE KEITH A MOMENT TO THINK,GIVE KEITH A MOMENT TO THINK
4416,FOUR,FOUR
4417,PLAYOFFS,PLAYOFFS
4418,MOUTHS,MOUTHS
4419,BRONCO,BRONCO
